what,kind,bundleId,bundleVersion,description,time
stopped,bundle,com.google.gdt.eclipse.designer.gpe,2.2.0.r36x201102111547,"com.google.gdt.eclipse.designer.gpe",1312448122875
stopped,bundle,com.google.gdt.eclipse.designer,2.2.0.r36x201102111505,"com.google.gdt.eclipse.designer",1312448122875
stopped,bundle,com.android.ide.eclipse.adt,10.0.1.v201103111512-110841,"com.android.ide.eclipse.adt",1312448122876
stopped,bundle,org.eclipse.mtj.jmunit,1.0.1.201101310801,"org.eclipse.mtj.jmunit",1312448122877
stopped,bundle,org.eclipse.m2e.launching,1.0.0.20110607-2117,"org.eclipse.m2e.launching",1312448122878
stopped,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1312448122879
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.300.v20100513-0845,"org.eclipse.jdt.apt.ui",1312448122880
stopped,bundle,org.eclipse.mtj.eswt.templates,1.0.1.201101310801,"org.eclipse.mtj.eswt.templates",1312448122880
stopped,bundle,org.eclipse.mtj.examples.toolkit.sdkprovidertestclamp,1.0.2.201101310801,"org.eclipse.mtj.examples.toolkit.sdkprovidertestclamp",1312448122881
stopped,bundle,org.eclipse.mtj.examples.toolkit.sdkprovidertestclamp2,1.0.2.201101310801,"org.eclipse.mtj.examples.toolkit.sdkprovidertestclamp2",1312448122882
stopped,bundle,org.eclipse.mtj.toolkit.microemu,1.0.0.201101310801,"org.eclipse.mtj.toolkit.microemu",1312448122882
stopped,bundle,org.eclipse.mtj.toolkit.mpowerplayer,1.0.0.201101310801,"org.eclipse.mtj.toolkit.mpowerplayer",1312448122883
stopped,bundle,org.eclipse.mtj.toolkit.cinterion,1.0.0.201101310801,"org.eclipse.mtj.toolkit.cinterion",1312448122910
stopped,bundle,org.eclipse.mtj.toolkit.nokia,1.0.0.201101310801,"org.eclipse.mtj.toolkit.nokia",1312448122911
stopped,bundle,org.eclipse.mtj.toolkit.uei,1.0.1.201101310801,"org.eclipse.mtj.toolkit.uei",1312448122911
stopped,bundle,org.eclipse.mtj.ui,1.2.1.201101310801,"org.eclipse.mtj.ui",1312448122913
stopped,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1312448122920
stopped,bundle,com.instantiations.designer.swing.FormLayout,8.1.1.r36x201012170656,"com.instantiations.designer.swing.FormLayout",1312448122922
stopped,bundle,com.instantiations.designer.swing.LookAndFeel,8.1.1.r36x201012170656,"com.instantiations.designer.swing.LookAndFeel",1312448122923
stopped,bundle,com.instantiations.designer.swing.MigLayout,8.1.1.r36x201012170656,"com.instantiations.designer.swing.MigLayout",1312448122924
stopped,bundle,com.instantiations.designer.swing.ams,8.1.1.r36x201012170656,"com.instantiations.designer.swing.ams",1312448122924
stopped,bundle,com.instantiations.designer.swing.hc,8.1.1.r36x201012170656,"com.instantiations.designer.swing.hc",1312448122925
stopped,bundle,com.instantiations.designer.swing.java6,8.1.1.r36x201012170656,"com.instantiations.designer.swing.java6",1312448122926
stopped,bundle,com.instantiations.designer.swing.jsr296,8.1.1.r36x201012170656,"com.instantiations.designer.swing.jsr296",1312448122926
stopped,bundle,com.instantiations.designer.swing,8.1.1.r36x201012170656,"com.instantiations.designer.swing",1312448122926
stopped,bundle,com.instantiations.designer.core.apiImpl,8.1.1.r36x201012161228,"com.instantiations.designer.core.apiImpl",1312448122927
stopped,bundle,com.instantiations.designer.core.ui,8.1.1.r36x201012161236,"com.instantiations.designer.core.ui",1312448122927
stopped,bundle,com.instantiations.designer.core.xml,8.1.1.r36x201012161237,"com.instantiations.designer.core.xml",1312448122927
stopped,bundle,com.instantiations.designer.layout.group,8.1.1.r36x201012161545,"com.instantiations.designer.layout.group",1312448122983
stopped,bundle,com.instantiations.designer.os.win32,8.1.1.r36x201012161228,"com.instantiations.designer.os.win32",1312448122987
stopped,bundle,com.instantiations.designer.swt,8.1.1.r36x201012170546,"com.instantiations.designer.swt",1312448122987
stopped,bundle,com.instantiations.designer.core,8.1.1.r36x201012161228,"com.instantiations.designer.core",1312448122987
stopped,bundle,com.instantiations.css,8.1.1.r36x201012161234,"com.instantiations.css",1312448122988
stopped,bundle,com.instantiations.designer.gwt.hosted.1_6.ie,8.1.1.r36x201012161232,"com.instantiations.designer.gwt.hosted.1_6.ie",1312448122988
stopped,bundle,com.instantiations.designer.gwt.hosted.1_6,8.1.1.r36x201012161232,"com.instantiations.designer.gwt.hosted.1_6",1312448122989
stopped,bundle,com.instantiations.designer.gwt.hosted.2_0.ie,8.1.1.r36x201012161232,"com.instantiations.designer.gwt.hosted.2_0.ie",1312448122990
stopped,bundle,com.instantiations.designer.gwt.hosted.2_0.webkit,8.1.1.r36x201012161232,"com.instantiations.designer.gwt.hosted.2_0.webkit",1312448123118
stopped,bundle,com.instantiations.designer.gwt.hosted.2_0,8.1.1.r36x201012161232,"com.instantiations.designer.gwt.hosted.2_0",1312448123151
stopped,bundle,com.instantiations.designer.gwt.hosted,8.1.1.r36x201012161232,"com.instantiations.designer.gwt.hosted",1312448123153
stopped,bundle,com.instantiations.eclipse.ui,8.1.1.r36x201012161226,"com.instantiations.eclipse.ui",1312448123153
stopped,bundle,com.google.gdt.eclipse.platform.shared,2.2.0.v201102111811,"com.google.gdt.eclipse.platform.shared",1312448123176
stopped,bundle,com.google.gdt.eclipse.designer.hosted.1_6.ie,2.2.0.r36x201102111446,"com.google.gdt.eclipse.designer.hosted.1_6.ie",1312448123199
stopped,bundle,com.google.gdt.eclipse.designer.hosted.1_6,2.2.0.r36x201102111446,"com.google.gdt.eclipse.designer.hosted.1_6",1312448123222
stopped,bundle,com.google.gdt.eclipse.designer.hosted.2_0.ie,2.2.0.r36x201102111446,"com.google.gdt.eclipse.designer.hosted.2_0.ie",1312448123227
error,log,,,"An error occurred while shutting down the database",1312448123227
stopped,bundle,com.google.gdt.eclipse.designer.hosted.2_0.webkit,2.2.0.r36x201102111446,"com.google.gdt.eclipse.designer.hosted.2_0.webkit",1312448123307
stopped,bundle,com.google.gdt.eclipse.designer.hosted.2_0,2.2.0.r36x201102111446,"com.google.gdt.eclipse.designer.hosted.2_0",1312448123350
stopped,bundle,com.google.gdt.eclipse.designer.hosted.2_2.ie,2.2.0.r36x201102111446,"com.google.gdt.eclipse.designer.hosted.2_2.ie",1312448123382
stopped,bundle,com.google.gdt.eclipse.designer.hosted.2_2.webkit,2.2.0.r36x201102111446,"com.google.gdt.eclipse.designer.hosted.2_2.webkit",1312448123445
stopped,bundle,com.google.gdt.eclipse.designer.hosted.2_2,2.2.0.r36x201102111446,"com.google.gdt.eclipse.designer.hosted.2_2",1312448123476
stopped,bundle,com.google.gdt.eclipse.designer.hosted,2.2.0.r36x201102111446,"com.google.gdt.eclipse.designer.hosted",1312448123507
stopped,bundle,org.eclipse.wb.core.xml,0.9.0.r36x201102111443,"org.eclipse.wb.core.xml",1312448123507
